id,context,english
# ---------------------------------------------------------------------------
# Project Murmur string table. Three columns: a stable id, a note on where
# the string appears and what fills its slots, and the English text.
#
# Every line below is placeholder text written by an agent, so every line is
# wrapped in [square brackets]. When a writer replaces one with real prose
# they drop the brackets in the same edit; anything bracketed on screen has
# not been through a writer yet.
#
# {named} slots are filled at runtime. The context column names every slot a
# string takes. Rows whose id is blank or starts with # are ignored.
# ---------------------------------------------------------------------------

# --- start screen ----------------------------------------------------------
ui.start.title,Game title on the start screen. Spaced out for display.,[P R O J E C T   M U R M U R]
ui.start.pitch.1,Start screen: first line of the premise.,"[A social-stealth contract campaign. Take a job, slip in,]"
ui.start.pitch.2,Start screen: second line of the premise.,[eliminate the target and walk out unremarked.]
ui.start.rules.1,"Start screen rule summary: the disguise system.",[Blend in: your clothes decide where you belong.]
ui.start.rules.2,Start screen rule summary: what guards react to.,"[Guards notice trespass, weapons, bodies, and worse.]"
ui.start.rules.3,Start screen rule summary: contract conditions.,"[Contracts carry one hard condition; break it, no pay.]"
ui.start.rules.4,Start screen rule summary: the cost of failure.,[Arrest costs your kit and a fine. Death ends everything.]
ui.start.keys_heading,Underlined heading above the compact key list.,[keys]
ui.start.help_hint,Start screen: points at the in-mission help overlay.,[Press ? during a mission for the full list.]
ui.start.mouse.1,Start screen mouse hint: first line.,"[The mouse works too: hover anything to inspect it,]"
ui.start.mouse.2,Start screen mouse hint: second line.,[click a seen tile to walk there and click any prompt]
ui.start.mouse.3,Start screen mouse hint: third line.,[or action instead of pressing its key.]
ui.start.prompt.continue,Start screen prompt when a saved campaign exists.,[Enter: continue your campaign]
ui.start.prompt.begin,Start screen prompt when there is no save.,[Enter: begin your campaign]
ui.start.prompt.new,Start screen prompt to discard the save and start over.,[n: start over]
ui.start.prompt.quit,Start screen prompt to leave the program.,[q: quit]

# --- start over confirmation ----------------------------------------------
ui.confirm_new.title,Heading of the dialog guarding a destructive restart.,[Start over?]
ui.confirm_new.body.1,Restart warning: what is lost. Line one of three.,"[This discards your saved campaign — the money,]"
ui.confirm_new.body.2,Restart warning: line two of three.,[the kit and everyone you have already dealt with.]
ui.confirm_new.body.3,Restart warning: line three of three.,"[There is only one save, and no way back.]"
ui.confirm_new.prompt.yes,Restart dialog: confirm and destroy the save.,"[y: yes, start over]"
ui.confirm_new.prompt.no,Restart dialog: any other key keeps the campaign.,[any other key: keep my campaign]

# --- the hub (contract board, stash, fence) --------------------------------
ui.hub.title,Heading of the campaign hub screen.,[THE SYNDICATE DESK]
ui.hub.wallet,"Hub status line. {cash} is a money amount, {contracts} a count.",[cash {cash}   contracts done {contracts}]
ui.hub.district_heat,"One district's heat, joined into a row. {district} name, {heat} 0-5.",[{district}: heat {heat}]
ui.hub.loadout.title,"Heading while picking a loadout. {venue} and {district} name the job.",[LOADOUT for the {venue} job in {district} (pick up to three)]
ui.hub.loadout.prompt.take,Loadout prompt: accept the contract and go to the briefing.,[Enter: take the job]
ui.hub.loadout.prompt.back,Loadout prompt: return to the contract board.,[Esc: back to the board]
ui.hub.offers.title,Heading above the list of available contracts.,[CONTRACTS ON OFFER]
ui.hub.offer.line,"One contract row. {venue}, {district}, {payout} money, {heat} 0-5.",[{venue} in {district} - pays {payout}  (heat {heat})]
ui.hub.offer.hook,"Why the target is marked. {hook} is a briefing reason clause.",[    the target {hook}]
ui.hub.offer.condition,"The contract's hard condition, abbreviated. {condition} is the short form.",[    condition: {condition}]
ui.hub.offer.pass,Hub row: decline the whole board and roll a new one.,[let this board pass]
ui.hub.stash.title,Heading above the player's owned equipment.,[YOUR STASH]
ui.hub.stash.empty,Shown in place of the stash list when nothing is owned.,[nothing but your hands]
ui.hub.fence.title,Heading above the equipment shop.,[THE FENCE (click or key to buy)]
ui.hub.fence.owned,"A shop row for an item already owned. {name} is the item name.",[{name} - owned]
ui.hub.fence.forsale,"A buyable shop row. {name} item, {price} money, {approach} play style.",[{name} - {price} ({approach})]
ui.hub.footer,Hub footer summarising the keys the board accepts.,[1/2: study a contract        Esc: back        q: quit]
ui.hub.msg.fresh_start,Hub message after starting a brand new campaign.,[a fresh start]
ui.hub.msg.contract_passed,Hub message after walking away from a briefing.,[you let the contract pass]
ui.hub.msg.board_refreshed,Hub message after declining the board.,[the board turns over]
ui.hub.msg.bought,"Hub message after a purchase. {item} is the item name.",[bought: {item}]
ui.hub.msg.generation_failed,Hub message when mission generation gave up. Should be near-impossible.,[the contract fell through; the board moves on]

# --- the briefing ----------------------------------------------------------
ui.briefing.title,Heading of the pre-mission briefing.,[MISSION BRIEFING]
ui.briefing.subtitle,"Briefing byline. {seed} is the mission seed, {venue} and {district} the job.",[contract {seed} - {venue} in {district}]
ui.briefing.target,"{name} is the generated target's full name.",[Target: {name}]
ui.briefing.reason,"Why the client wants them dead. {hook} is a reason clause.",[Reason: the target {hook}]
ui.briefing.locations,"Rooms the target's routine visits. {rooms} is a comma-joined list.",[Likely locations: {rooms}]
ui.briefing.locations_unknown,Stands in for the room list when the target's routine is unknown.,[unknown]
ui.briefing.condition,"The contract's hard condition in full. {condition} is the long form.",[Condition: {condition}]
ui.briefing.payout,{payout} is the money paid for a clean job.,[Payout on a clean job: {payout}]
ui.briefing.security,Population counts. {guards} {staff} {guests} are numbers.,[Security: {guards} guards on shift; {staff} staff; about {guests} guests]
ui.briefing.restricted,"Rooms a civilian cannot enter. {rooms} is a comma-joined list.",[Restricted areas: {rooms}]
ui.briefing.disguises,"Disguises present in the venue. {disguises} is a comma-joined list.",[Disguises seen on site: {disguises}]
ui.briefing.containers,{count} is the number of body-sized containers found.,[Places to hide a body: {count} known containers]
ui.briefing.extraction,"Where the player may leave. {exits} is a list joined with 'or'.",[Extraction: {exits}]
ui.briefing.word.some,"Opportunity machine hints. {hints} is a semicolon-joined list.",[Word on the inside: {hints}]
ui.briefing.word.none,Replaces the hint line when no opportunity machines were placed.,[Word on the inside: nothing unusual]
ui.briefing.loadout.some,"{items} is a comma-joined list of the items taken in.",[You carry: {items}]
ui.briefing.loadout.none,Replaces the loadout line when nothing was taken.,[You go in empty-handed.]
ui.briefing.entry,"Briefing closer: the player always starts as a guest in civilian dress.",[You enter as a guest in civilian clothes.]
ui.briefing.prompt.go,Briefing prompt: begin the mission.,[Enter: go in]
ui.briefing.prompt.pass,Briefing prompt: decline and return to the hub.,[Esc: let the contract pass]

# --- the debrief -----------------------------------------------------------
ui.debrief.headline.completed,Debrief headline: target dead and the condition held.,[CONTRACT COMPLETED]
ui.debrief.headline.breached,Debrief headline: extracted but the condition was broken.,[CONTRACT BREACHED]
ui.debrief.headline.target_escaped,Debrief headline: the target got out alive.,[TARGET ESCAPED]
ui.debrief.headline.arrested,Debrief headline: the player was arrested.,[ARRESTED]
ui.debrief.headline.killed,Debrief headline: the player died. Ends the campaign.,[KILLED IN ACTION]
ui.debrief.headline.abandoned,Debrief headline: the player walked out of the run.,[CONTRACT ABANDONED]
ui.debrief.result,"How the contract ended. {result} is a result phrase.",[the contract {result}]
ui.debrief.payout,{payout} is the money actually paid.,[payout: {payout}]
ui.debrief.breach,"Why the contract was voided. {reason} names the broken condition.",[breached: {reason}]
ui.debrief.fine,{fine} is money deducted after an arrest.,[fine paid: {fine}]
ui.debrief.confiscated,"{items} is a comma-joined list of gear lost to an arrest.",[confiscated: {items}]
ui.debrief.heat_rose,Shown when the job raised the district's heat.,[the district runs hotter now]
ui.debrief.cash,{cash} is the campaign wallet after settling up.,[cash: {cash}]
ui.debrief.footer,"Run statistics. {turns} is a turn count, {seed} the mission seed.",[{turns} turns   seed {seed}]
ui.debrief.prompt.back,Debrief prompt: return to the hub.,[Enter: back to the desk]

# --- campaign over ---------------------------------------------------------
ui.campaign_over.title,Heading shown when the operative dies and the run ends.,[THE CAMPAIGN ENDS HERE]
ui.campaign_over.tally,"{taken} contracts accepted, {killed} targets eliminated.","[{taken} contracts taken, {killed} targets eliminated]"
ui.campaign_over.earned,{earned} is total money earned across the run.,[{earned} earned across the run]
ui.campaign_over.record,"One past contract. {venue}, {district}, {result} phrase.",[{venue} in {district}: {result}]
ui.campaign_over.prompt.again,Campaign-over prompt: begin a fresh campaign.,[Enter: a new operative takes the desk]
ui.campaign_over.prompt.quit,Campaign-over prompt: leave the program.,[q: quit]

# --- contract results ------------------------------------------------------
result.completed,Contract outcome phrase: clean success.,[completed cleanly]
result.completed_unclean,Contract outcome phrase: target dead but the condition broke.,"[completed, contract breached]"
